type,mode,amount,currentBalance,transactionTimestamp,valueDate,txnId,narration,reference
DEBIT,CARD,100.0,2180.8,2023-06-27T09:40:19+05:30,2023-06-27,6e80ee9f-49b5-434f-8ab6-f192a2296e6c,GAS FILLING STATION,
DEBIT,CARD,170.0,2010.8,2023-06-28T09:51:57+05:30,2023-06-28,a734aa85-4bf8-44c0-b508-305f554dc51e,GAS FILLING STATION,
DEBIT,CARD,500.0,1510.8,2023-07-26T10:04:00+05:30,2023-07-26,dc44e071-399f-4ec2-b6ec-64f9e8a05a8a,GAS FILLING STATION,
CREDIT,OTHERS,15.0,1525.8,2023-08-06T11:10:38+05:30,2023-07-31,0adc1ed0-4809-462d-855c-84cda5593c80,5188810,
DEBIT,ATM,1000.0,525.8,2023-08-07T17:13:13+05:30,2023-08-07,1a018d91-db8a-416d-b49f-d03a84bc5c7b,ATM,
DEBIT,UPI,1.0,524.8,2023-08-22T08:05:06+05:30,2023-08-22,33bd1687-6ab2-43c5-be5f-d150f412834c,UPI/3234,
CREDIT,UPI,3000.0,3524.8,2023-08-22T11:49:13+05:30,2023-08-22,b87c4941-ad5b-41b7-9cda-4956a05a042e,UPI/3234,
CREDIT,UPI,300.0,3824.8,2023-08-22T12:20:04+05:30,2023-08-22,8bba53c3-7a35-40d6-a38c-fc142c432455,UPI/32345,
DEBIT,UPI,1200.0,2624.8,2023-08-23T08:17:48+05:30,2023-08-23,fd9c35d1-b32c-40f2-9e3e-0ddfe1d24cad,UPI/3235,
CREDIT,UPI,400.0,3024.8,2023-08-23T10:51:21+05:30,2023-08-23,d2407a2c-15f3-46c2-b658-f9b66de3b6fd,UPI/ent,
CREDIT,UPI,500.0,3524.8,2023-08-24T11:32:18+05:30,2023-08-24,b347d492-3798-4af9-b684-b136ecc2163e,UPI/3236,
CREDIT,UPI,300.0,3824.8,2023-08-24T12:31:36+05:30,2023-08-24,2502b83f-52a0-459a-acc2-058856a6025f,UPI/3236,
DEBIT,UPI,140.0,3684.8,2023-08-24T13:35:21+05:30,2023-08-24,ef7cdb44-66aa-4523-bafb-bc36528ffb08,UPI/3236,
CREDIT,UPI,400.0,4084.8,2023-08-24T16:52:52+05:30,2023-08-24,cb0dda74-4491-4005-9038-5d4d2d3d8f69,UPI/3236,
CREDIT,UPI,750.0,4834.8,2023-08-24T18:22:22+05:30,2023-08-24,504ea1a4-880a-4336-be91-722f93d03d76,UPI/3236,
DEBIT,UPI,80.0,4754.8,2023-08-24T21:43:55+05:30,2023-08-24,72b8aab6-5ec1-4204-9c6c-703251f82cae,UPI/BHARATPE6,
DEBIT,UPI,30.0,4724.8,2023-08-24T21:48:01+05:30,2023-08-24,ecc76954-7c8f-4fc0-9e51-6fa35a1b4cac,UPI/3236,
DEBIT,UPI,2480.0,2244.8,2023-08-25T10:24:38+05:30,2023-08-25,d26c20ba-4ed1-4ea0-81b0-d864d6905ce6,UPI/3237,
DEBIT,UPI,1450.0,794.8,2023-08-25T10:39:35+05:30,2023-08-25,4d14d160-484b-4f1d-822a-106f7e4d6cd0,UPI/32372,
DEBIT,UPI,120.0,674.8,2023-08-25T12:03:11+05:30,2023-08-25,2395c8a5-2d7b-45ff-8279-07160dc2b24f,UPI/BHARATPE,
CREDIT,UPI,480.0,1154.8,2023-08-25T16:03:16+05:30,2023-08-25,60867cfd-705b-44ba-9183-9fd57069d79b,UPI/36035,
CREDIT,OTHERS,1.0,1155.8,2023-08-25T16:04:31+05:30,2023-08-25,9760f363-bad8-44f4-99cb-8d9c97dccc4c,IMPS,
DEBIT,UPI,1.0,1154.8,2023-08-25T16:15:02+05:30,2023-08-25,b128ae36-e103-40fb-b402-dda22c0540a0,UPI/PAYTM,
DEBIT,UPI,1.0,1153.8,2023-08-25T16:19:10+05:30,2023-08-25,b224b31a-93e8-4726-9853-e355c677a612,UPI/32375,
