ledger_id,ledger_date,account,transaction_type,payment_mode,amount,description,bank_reference,source_bank_transaction_id,status
LED100001,2023-06-27,MAIN_OPERATING_ACCOUNT,DEBIT,CARD,100.0,GAS FILLING STATION,,6e80ee9f-49b5-434f-8ab6-f192a2296e6c,Posted
LED100002,2023-06-28,MAIN_OPERATING_ACCOUNT,DEBIT,CARD,170.0,GAS FILLING STATION,,a734aa85-4bf8-44c0-b508-305f554dc51e,Posted
LED100003,2023-07-26,MAIN_OPERATING_ACCOUNT,DEBIT,CARD,500.0,GAS FILLING STATION,,dc44e071-399f-4ec2-b6ec-64f9e8a05a8a,Posted
LED100004,2023-07-31,MAIN_OPERATING_ACCOUNT,CREDIT,OTHERS,15.0,5188810,,0adc1ed0-4809-462d-855c-84cda5593c80,Posted
LED100005,2023-08-07,MAIN_OPERATING_ACCOUNT,DEBIT,ATM,1000.0,ATM WITHDRAWAL,,1a018d91-db8a-416d-b49f-d03a84bc5c7b,Posted
LED100006,2023-08-22,MAIN_OPERATING_ACCOUNT,DEBIT,UPI,1.0,UPI PAYMENT/3234,,33bd1687-6ab2-43c5-be5f-d150f412834c,Posted
LED100007,2023-08-22,MAIN_OPERATING_ACCOUNT,CREDIT,UPI,3000.0,UPI PAYMENT/3234,,b87c4941-ad5b-41b7-9cda-4956a05a042e,Posted
LED100008,2023-08-22,MAIN_OPERATING_ACCOUNT,CREDIT,UPI,300.0,UPI PAYMENT/32345,,8bba53c3-7a35-40d6-a38c-fc142c432455,Posted
LED100009,2023-08-23,MAIN_OPERATING_ACCOUNT,DEBIT,UPI,1200.0,UPI PAYMENT/3235,,fd9c35d1-b32c-40f2-9e3e-0ddfe1d24cad,Posted
LED100010,2023-08-23,MAIN_OPERATING_ACCOUNT,CREDIT,UPI,400.0,UPI PAYMENT/ENT,,d2407a2c-15f3-46c2-b658-f9b66de3b6fd,Posted
LED100011,2023-08-24,MAIN_OPERATING_ACCOUNT,CREDIT,UPI,500.0,UPI PAYMENT/3236,,b347d492-3798-4af9-b684-b136ecc2163e,Posted
LED100012,2023-08-24,MAIN_OPERATING_ACCOUNT,CREDIT,UPI,300.0,UPI PAYMENT/3236,,2502b83f-52a0-459a-acc2-058856a6025f,Posted
LED100013,2023-08-24,MAIN_OPERATING_ACCOUNT,DEBIT,UPI,140.0,UPI PAYMENT/3236,,ef7cdb44-66aa-4523-bafb-bc36528ffb08,Posted
