bank_transaction_id,ledger_id,bank_date,ledger_date,bank_amount,ledger_amount,amount_difference,date_difference_days,bank_description,ledger_description,match_status,match_reason,confidence_score,confidence_tier,duplicate_flag,duplicate_note
6e80ee9f-49b5-434f-8ab6-f192a2296e6c,LED100001,2023-06-27,2023-06-27,100.0,100.0,0.0,0.0,GAS FILLING STATION,GAS FILLING STATION,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
a734aa85-4bf8-44c0-b508-305f554dc51e,LED100002,2023-06-28,2023-06-28,170.0,170.0,0.0,0.0,GAS FILLING STATION,GAS FILLING STATION,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
dc44e071-399f-4ec2-b6ec-64f9e8a05a8a,LED100003,2023-07-26,2023-07-26,500.0,500.0,0.0,0.0,GAS FILLING STATION,GAS FILLING STATION,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
0adc1ed0-4809-462d-855c-84cda5593c80,LED100004,2023-07-31,2023-07-31,15.0,15.0,0.0,0.0,5188810,5188810,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
1a018d91-db8a-416d-b49f-d03a84bc5c7b,LED100005,2023-08-07,2023-08-07,1000.0,1000.0,0.0,0.0,ATM,ATM WITHDRAWAL,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
33bd1687-6ab2-43c5-be5f-d150f412834c,LED100006,2023-08-22,2023-08-22,1.0,1.0,0.0,0.0,UPI/3234,UPI PAYMENT/3234,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
b87c4941-ad5b-41b7-9cda-4956a05a042e,LED100007,2023-08-22,2023-08-22,3000.0,3000.0,0.0,0.0,UPI/3234,UPI PAYMENT/3234,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
8bba53c3-7a35-40d6-a38c-fc142c432455,LED100008,2023-08-22,2023-08-22,300.0,300.0,0.0,0.0,UPI/32345,UPI PAYMENT/32345,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
fd9c35d1-b32c-40f2-9e3e-0ddfe1d24cad,LED100009,2023-08-23,2023-08-23,1200.0,1200.0,0.0,0.0,UPI/3235,UPI PAYMENT/3235,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
d2407a2c-15f3-46c2-b658-f9b66de3b6fd,LED100010,2023-08-23,2023-08-23,400.0,400.0,0.0,0.0,UPI/ent,UPI PAYMENT/ENT,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
b347d492-3798-4af9-b684-b136ecc2163e,LED100011,2023-08-24,2023-08-24,500.0,500.0,0.0,0.0,UPI/3236,UPI PAYMENT/3236,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
2502b83f-52a0-459a-acc2-058856a6025f,LED100012,2023-08-24,2023-08-24,300.0,300.0,0.0,0.0,UPI/3236,UPI PAYMENT/3236,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
ef7cdb44-66aa-4523-bafb-bc36528ffb08,LED100013,2023-08-24,2023-08-24,140.0,140.0,0.0,0.0,UPI/3236,UPI PAYMENT/3236,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
cb0dda74-4491-4005-9038-5d4d2d3d8f69,LED100014,2023-08-24,2023-08-24,400.0,400.0,0.0,0.0,UPI/3236,UPI PAYMENT/3236,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
504ea1a4-880a-4336-be91-722f93d03d76,LED100015,2023-08-24,2023-08-24,750.0,750.0,0.0,0.0,UPI/3236,UPI PAYMENT/3236,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
72b8aab6-5ec1-4204-9c6c-703251f82cae,LED100016,2023-08-24,2023-08-24,80.0,80.0,0.0,0.0,UPI/BHARATPE6,UPI PAYMENT/BHARATPE6,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
ecc76954-7c8f-4fc0-9e51-6fa35a1b4cac,LED100017,2023-08-24,2023-08-24,30.0,30.0,0.0,0.0,UPI/3236,UPI PAYMENT/3236,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
d26c20ba-4ed1-4ea0-81b0-d864d6905ce6,LED100018,2023-08-25,2023-08-25,2480.0,2480.0,0.0,0.0,UPI/3237,UPI PAYMENT/3237,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
4d14d160-484b-4f1d-822a-106f7e4d6cd0,LED100019,2023-08-25,2023-08-25,1450.0,1450.0,0.0,0.0,UPI/32372,UPI PAYMENT/32372,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
2395c8a5-2d7b-45ff-8279-07160dc2b24f,LED100020,2023-08-25,2023-08-25,120.0,120.0,0.0,0.0,UPI/BHARATPE,UPI PAYMENT/BHARATPE,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
60867cfd-705b-44ba-9183-9fd57069d79b,LED100021,2023-08-25,2023-08-25,480.0,480.0,0.0,0.0,UPI/36035,UPI PAYMENT/36035,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
9760f363-bad8-44f4-99cb-8d9c97dccc4c,LED100022,2023-08-25,2023-08-25,1.0,1.0,0.0,0.0,IMPS,IMPS PAYMENT,Potential Match,Amount + type match with description similarity 100%,85,Medium,No,No duplicate candidate
b128ae36-e103-40fb-b402-dda22c0540a0,LED100023,2023-08-25,2023-08-25,1.0,1.0,0.0,0.0,UPI/PAYTM,UPI PAYMENT/PAYTM,Potential Match,Amount + type match with description similarity 100%,85,Medium,No,No duplicate candidate
b224b31a-93e8-4726-9853-e355c677a612,LED100024,2023-08-25,2023-08-25,1.0,1.0,0.0,0.0,UPI/32375,UPI PAYMENT/32375,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
24f677df-0d22-4ee9-a72e-228f9898062b,LED100025,2023-08-25,2023-08-25,21.0,21.0,0.0,0.0,UPI/32378/goog-payment,UPI PAYMENT/32378/GOOG-PAYMENT,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
a25eeba0-6e08-45cb-9eb3-5583b6f9ec58,LED100026,2023-08-25,2023-08-25,1.0,1.0,0.0,0.0,NEFT,NEFT PAYMENT,Matched,Exact reference + amount + date + type,100,High,No,No duplicate candidate
71bdd916-a4ad-4d30-9a0f-796611e2724f,LED100027,2023-08-25,2023-08-25,1000.0,1000.0,0.0,0.0,UPI/3237,UPI PAYMENT/3237,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
f36f9696-82f7-47b1-9290-75cd13d701ac,LED100028,2023-08-25,2023-08-25,30.0,30.0,0.0,0.0,UPI/3603,UPI PAYMENT/3603,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
c2ca6026-dd22-490f-8e8e-6bb1d033ec58,LED100029,2023-08-25,2023-08-25,51.0,51.0,0.0,0.0,IMPS,IMPS PAYMENT,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
dec347ca-1df8-4834-bf12-a7ec81d4faeb,LED100030,2023-08-26,2023-08-26,1.0,1.0,0.0,0.0,UPI/BHARATPE,UPI PAYMENT/BHARATPE,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
676db4e7-86c0-42e5-87f7-991d729ebd66,LED100031,2023-08-26,2023-08-26,500.0,500.0,0.0,0.0,UPI/3238,UPI PAYMENT/3238,Potential Match,Amount + type match with description similarity 100%,85,Medium,No,No duplicate candidate
ce354233-4a2f-499b-86f4-cc9ad4c0ccb7,LED100032,2023-08-26,2023-08-26,500.0,500.0,0.0,0.0,UPI/32382,UPI PAYMENT/32382,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
e47c0f6b-669c-4846-a4e1-a9c1abb74a49,LED100033,2023-08-26,2023-08-26,700.0,700.0,0.0,0.0,UPI/32384,UPI PAYMENT/32384,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
9da292b1-e6ff-4aec-ba17-1e9596be288d,LED100034,2023-08-26,2023-08-26,60.0,60.0,0.0,0.0,UPI/BHARATPE,UPI PAYMENT/BHARATPE,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
622a4877-d66b-4659-95f2-c834bc437044,LED100035,2023-08-26,2023-08-26,20.0,20.0,0.0,0.0,UPI/BHARATPE,UPI PAYMENT/BHARATPE,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
7c0b0fd3-5719-4c8f-be35-9a1eb624c282,LED100036,2023-08-27,2023-08-27,1.0,1.0,0.0,0.0,UPI/32394,UPI PAYMENT/32394,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
016a5f57-2be1-4c57-a806-9076e198a71f,LED100037,2023-08-27,2023-08-27,1499.0,1499.0,0.0,0.0,UPI/3239,UPI PAYMENT/3239,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
345f0d46-25ad-497a-85d7-9047543df60e,LED100038,2023-08-27,2023-08-27,240.0,240.0,0.0,0.0,UPI/32390/,UPI PAYMENT/32390/,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
e1f0ba13-39fa-4fa9-bcb1-47aab5a5e746,LED100039,2023-08-28,2023-08-28,850.0,850.0,0.0,0.0,IMPS,IMPS PAYMENT,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
6de89130-04ff-44c2-8801-88fca93609a9,LED100040,2023-08-28,2023-08-28,10.0,10.0,0.0,0.0,AMZN,AMZN,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
febe3439-44d2-4ab8-a972-cdb1f72e43aa,LED100041,2023-08-29,2023-08-29,1200.0,1200.0,0.0,0.0,UPI/3241,UPI PAYMENT/3241,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
d2987357-92f2-4c9e-99a6-7692e931be22,LED100042,2023-08-29,2023-08-29,600.0,600.0,0.0,0.0,IMPS,IMPS PAYMENT,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
c2aa2280-77b1-4f14-a157-de477ec6b924,,2023-08-29,,100.0,,,,UPI/3241,,Unmatched Bank Transaction,No suitable ledger transaction found,0,Low,No,No duplicate candidate
ad797524-235c-4edb-b939-47647c17558c,LED100044,2023-08-30,2023-08-30,15.0,15.0,0.0,0.0,UPI/JIOINAPPDIRECT/,UPI PAYMENT/JIOINAPPDIRECT/,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
0494c9e3-ee71-4d31-b923-e723a1df44c3,LED100045,2023-08-30,2023-08-30,600.0,600.0,0.0,0.0,IMPS,IMPS PAYMENT,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
3fd5bdaf-a0ec-4108-8f31-b39d54ba740d,LED100046,2023-08-30,2023-08-30,170.0,170.0,0.0,0.0,IMPS,IMPS PAYMENT,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
6ad58ee6-705a-4a71-8e43-c7ed1e88088f,LED100047,2023-08-31,2023-08-31,350.0,350.0,0.0,0.0,NEFT,NEFT PAYMENT,Matched,Exact reference + amount + date + type,100,High,No,No duplicate candidate
c722d3c1-53df-4e6d-bc90-f14dbb97376b,LED100048,2023-08-31,2023-08-31,750.0,750.0,0.0,0.0,IMPS,IMPS PAYMENT,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
c75c6d29-5934-42c3-bbda-dfc773f0100a,LED100049,2023-08-31,2023-08-31,1200.0,1200.0,0.0,0.0,UPI/PAYTMNA,UPI PAYMENT/PAYTMNA,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
794a682b-5b7a-4444-bd6a-5a3db9f9f1a3,LED100050,2023-08-31,2023-08-31,200.0,200.0,0.0,0.0,UPI/3609,UPI PAYMENT/3609,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
7a6487f4-2008-4358-a761-2bd30994ae38,LED100051,2023-08-31,2023-08-31,50.0,50.0,0.0,0.0,UPI/3609,UPI PAYMENT/3609,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
7a9c2faa-5032-42bb-9987-38cf36e1335b,LED100052,2023-09-01,2023-09-01,3500.0,3500.0,0.0,0.0,UPI/32445,UPI PAYMENT/32445,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
5ccc1be2-fbfb-4f60-9a87-17ee0b25c621,LED100053,2023-09-03,2023-09-03,34.0,34.0,0.0,0.0,UPI/3612,UPI PAYMENT/3612,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
8a98421e-6026-4147-a99b-1335649ebb75,LED100054,2023-09-04,2023-09-04,460.0,460.0,0.0,0.0,UPI/32479,UPI PAYMENT/32479,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
b0bfec92-0fee-4c83-aa63-ec56255fa8ca,LED100055,2023-09-04,2023-09-04,200.0,200.0,0.0,0.0,UPI/3613,UPI PAYMENT/3613,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
7aab002f-a9d3-4600-840b-78a381e69fdd,LED100056,2023-09-04,2023-09-04,850.0,850.0,0.0,0.0,IMPS,IMPS PAYMENT,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
e6e88a6e-1bbf-4d10-8efc-7c38d81db891,LED100057,2023-09-05,2023-09-05,200.0,200.0,0.0,0.0,UPI/3248,UPI PAYMENT/3248,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
8efc053e-df71-45cc-a9ce-0cea8d9d166e,LED100058,2023-09-05,2023-09-05,1100.0,1100.0,0.0,0.0,IMPS,IMPS PAYMENT,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
26212eac-72f0-4da8-943d-9e94599b1168,LED100059,2023-09-06,2023-09-06,10.0,10.0,0.0,0.0,UPI/PAYTMPa,UPI PAYMENT/PAYTMPA,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
43423182-430e-4210-bf86-1093bde2c9a4,LED100060,2023-09-06,2023-09-06,15.0,15.0,0.0,0.0,UPI/JIOINAPPDIRECT/,UPI PAYMENT/JIOINAPPDIRECT/,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
e12cba6a-8238-4de8-af95-0afacd47ef30,LED100061,2023-09-08,2023-09-08,220.0,220.0,0.0,0.0,UPI/BHARATPE,UPI PAYMENT/BHARATPE,Potential Match,Amount + type match with description similarity 100%,85,Medium,Yes,Duplicate candidate detected
2d629427-5abd-4cfa-9729-ec2f575c9c3f,LED100062,2023-09-08,2023-09-08,500.0,500.0,0.0,0.0,UPI/BHARATPE,UPI PAYMENT/BHARATPE,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
976f05f5-b0b1-4525-a5bd-c57fd63b6302,LED100063,2023-09-08,2023-09-08,850.0,850.0,0.0,0.0,IMPS,IMPS PAYMENT,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
5792cc25-83fd-4513-a760-9d0e0be64897,LED100064,2023-09-09,2023-09-09,350.0,350.0,0.0,0.0,NEFT,NEFT PAYMENT,Matched,Exact reference + amount + date + type,100,High,No,No duplicate candidate
aa9e7078-1396-4bc4-b021-2801520dd0ae,LED100065,2023-09-09,2023-09-09,1.0,1.0,0.0,0.0,UPI/3252,UPI PAYMENT/3252,Matched,Exact amount + date + transaction type,95,High,No,No duplicate candidate
